dates,SE,S,NE,N
1947-02-01,75351.40000000001,9002.98,14739.52,23442.39
1947-03-01,109006.78,6495.06,18075.09,29979.08
1947-04-01,70069.79000000001,3464.83,22991.66,35900.97
1947-05-01,43637.619999999995,4500.700000000001,14019.39,24894.399999999998
1947-06-01,31915.17,8489.67,7122.06,14653.68
1947-07-01,26527.12,6553.700000000001,5746.06,5564.639999999999
1947-08-01,22680.48,8213.72,4844.79,3722.82
1947-09-01,26364.6,16521.08,4658.83,2923.97
1947-10-01,27901.1,13614.52,4375.42,3436.6499999999996
1947-11-01,30157.04,5692.25,9577.66,6444.4400000000005
1947-12-01,52190.86000000001,7279.07,13893.24,10828.710000000001
1948-01-01,61907.47,5023.389999999999,18320.46,17865.620000000003
1948-02-01,68324.8,8186.17,13815.65,23587.229999999996
1948-03-01,72229.37000000001,6945.12,16609.97,27656.350000000002
1948-04-01,52950.38,7195.75,12631.14,27667.629999999997
1948-05-01,34849.11,11775.4,6790.78,18066.170000000002
1948-06-01,29356.58,6593.889999999999,5563.37,8739.08
1948-07-01,22112.34,7865.22,4895.05,5042.05
1948-08-01,20194.41,16986.22,4138.5,2920.49
1948-09-01,15821.26,5548.32,3615.94,2146.35
1948-10-01,17598.07,7275.48,3773.63,2056.6800000000003
1948-11-01,26714.179999999997,8044.07,4332.44,2608.12
1948-12-01,58546.44,2558.86,15962.31,12946.53
1949-01-01,62976.27,2751.3,22471.88,26776.17
1949-02-01,87132.26,1565.4099999999999,27835.85,30093.7
1949-03-01,68185.91,3563.66,37331.11,29413.1
1949-04-01,50450.93,6100.719999999999,22960.91,20607.26
1949-05-01,37560.98,4527.110000000001,10769.79,17574.120000000003
1949-06-01,29065.57,8430.83,7906.13,8802.65
1949-07-01,22244.35,4963.07,6480.83,5482.54
1949-08-01,17560.63,5294.889999999999,5468.2,3368.7599999999998
1949-09-01,14543.95,7687.86,4688.23,2269.9
1949-10-01,18250.81,6348.04,4355.39,1870.56
1949-11-01,25353.41,2989.21,8725.5,3767.85
1949-12-01,41898.09,2215.17,9692.73,6379.049999999999
1950-01-01,53887.87,5626.360000000001,13674.63,9333.560000000001
1950-02-01,78500.82,5350.75,13457.36,16859.38
1950-03-01,72126.29999999999,8382.33,10753.62,21168.58
1950-04-01,53807.60999999999,3934.29,11691.32,25829.079999999998
1950-05-01,38227.93,5108.01,8224.71,22767.54
1950-06-01,28058.11,4509.99,5240.59,14059.699999999999
1950-07-01,22257.989999999998,4181.23,4526.25,5207.4
1950-08-01,16427.77,8413.07,3939.32,2810.16
1950-09-01,13804.55,6227.53,3250.18,1920.03
1950-10-01,20579.77,19270.69,3719.87,2073.45
1950-11-01,35215.0,7205.96,6119.26,3209.35
1950-12-01,51828.32000000001,5463.32,12153.26,6585.570000000001
1951-01-01,65796.40000000001,6517.96,12813.56,12513.750000000002
1951-02-01,79993.9,12285.99,12086.5,15693.75
1951-03-01,82086.82,11392.84,13950.41,18397.02
1951-04-01,60312.560000000005,3797.69,14424.71,15485.48
1951-05-01,39114.03,2127.2,8105.37,13631.16
1951-06-01,30388.600000000002,2112.44,5586.22,7926.29
1951-07-01,23931.079999999998,2786.21,4459.59,5031.34
1951-08-01,19099.04,1368.3899999999999,3804.78,2801.66
1951-09-01,16016.020000000002,1547.19,3291.2,1954.49
1951-10-01,18308.85,14986.61,3016.44,1629.53
1951-11-01,21175.519999999997,11008.880000000001,2844.33,2077.41
1951-12-01,32747.399999999998,6387.49,4475.93,5097.52
1952-01-01,43585.68,3611.96,9677.51,9723.1
1952-02-01,62672.85,3376.48,13395.16,13691.810000000001
1952-03-01,91432.98000000001,2215.06,17539.93,18854.15
1952-04-01,54574.670000000006,1895.09,20610.51,26100.440000000002
1952-05-01,35413.130000000005,1042.03,10653.91,21929.03
1952-06-01,29941.08,7470.63,5947.79,10764.789999999999
1952-07-01,22075.5,8769.74,4819.94,4839.5199999999995
1952-08-01,17296.57,3450.9400000000005,3965.84,2846.89
1952-09-01,16353.88,10206.21,3523.42,2089.21
1952-10-01,18811.260000000002,16116.05,3466.76,2024.39
1952-11-01,28379.510000000002,9913.32,4823.45,2425.3999999999996
1952-12-01,35900.13,4234.54,11070.79,5987.62
1953-01-01,34550.35,5132.02,11723.96,12201.42
1953-02-01,37893.96,6778.98,5430.83,17418.649999999998
1953-03-01,46189.240000000005,3994.96,7849.22,18133.22
1953-04-01,47349.82,3806.09,11238.07,23518.04
1953-05-01,30740.730000000003,3227.14,6177.43,19702.81
1953-06-01,23951.35,5404.98,3975.48,12775.669999999998
1953-07-01,17980.53,4312.889999999999,3352.8,4123.15
1953-08-01,14302.66,3485.71,2929.37,2445.19
1953-09-01,14581.61,13162.980000000001,2592.23,1671.77
1953-10-01,20900.2,17482.190000000002,3187.39,2923.76
1953-11-01,26361.949999999997,14766.23,4505.37,4499.16
1953-12-01,41202.350000000006,6234.32,9551.22,8640.7
1954-01-01,39505.29,9723.95,13945.79,12906.01
1954-02-01,57566.049999999996,6511.52,8201.55,17715.02
1954-03-01,45586.61,7957.05,9156.02,23579.02
1954-04-01,39169.52,6611.290000000001,7814.91,22631.690000000002
1954-05-01,41249.0,18090.550000000003,4435.16,19155.800000000003
1954-06-01,30239.39,20390.33,3726.26,9626.78
1954-07-01,19919.7,20862.09,2958.23,4806.280000000001
1954-08-01,14231.27,6558.79,2642.79,2779.7700000000004
1954-09-01,11733.75,21151.019999999997,2180.42,1606.12
1954-10-01,13128.98,25146.69,1958.44,1187.1399999999999
1954-11-01,19469.05,6667.38,2938.22,2209.27
1954-12-01,29425.09,4375.03,10445.92,7101.9
1955-01-01,45172.23,3524.26,7945.27,11629.86
1955-02-01,38441.1,4635.42,12193.59,20996.600000000002
1955-03-01,43049.5,4532.3,6836.54,20234.93
1955-04-01,41952.3,9904.14,7829.28,23303.97
1955-05-01,27127.12,14216.84,4724.1,20738.289999999997
1955-06-01,24965.68,19779.3,3198.66,15807.169999999998
1955-07-01,19457.370000000003,24715.4,2745.65,4487.26
1955-08-01,14087.63,10859.220000000001,2394.66,2564.46
1955-09-01,13002.27,10067.48,2057.73,1726.6
1955-10-01,13673.34,6281.83,1933.55,1802.7099999999998
1955-11-01,21485.3,3661.9700000000003,5976.73,3995.68
1955-12-01,42233.48,3793.26,10069.12,7042.66
1956-01-01,47280.54,7978.4800000000005,15734.32,13886.52
1956-02-01,38549.3,8284.5,7700.67,19347.81
1956-03-01,50665.94,3320.95,13105.61,23899.909999999996
1956-04-01,38355.48,11652.93,8718.66,25082.260000000002
1956-05-01,38787.23,12325.77,5155.2,21185.72
1956-06-01,38373.48,7327.49,4923.47,10229.39
1956-07-01,25119.67,6084.04,4127.03,6282.629999999999
1956-08-01,26307.61,10364.91,3218.65,3978.51
1956-09-01,18708.899999999998,11799.14,2733.43,2975.7400000000002
1956-10-01,17405.85,7027.610000000001,2486.04,2771.84
1956-11-01,28387.41,3087.83,4329.26,6582.049999999999
1956-12-01,52926.52999999999,2429.19,11633.64,14255.789999999999
1957-01-01,68245.11,4457.41,18023.17,32321.469999999998
1957-02-01,74598.0,8078.5599999999995,21129.79,31919.39
1957-03-01,76567.42,4555.9,23049.89,38992.7
1957-04-01,69520.44,4589.22,24619.77,44483.40000000001
1957-05-01,43920.3,4374.29,18835.27,29154.77
1957-06-01,32231.69,6527.360000000001,8844.91,18492.4
1957-07-01,32601.570000000003,19240.46,6306.39,7286.04
1957-08-01,28182.83,35765.53,5056.77,4657.16
1957-09-01,34052.07,34403.62,4190.52,3477.7000000000003
1957-10-01,25320.989999999998,13896.02,4554.98,3199.26
1957-11-01,32662.25,10254.39,4201.99,3134.8399999999997
1957-12-01,50112.92999999999,6202.77,12320.73,7975.99
1958-01-01,51102.19,4548.86,11807.9,12262.13
1958-02-01,70264.27,3339.91,15350.49,21375.420000000002
1958-03-01,61623.090000000004,8879.789999999999,11133.69,26712.41
1958-04-01,53397.9,3803.9799999999996,9569.65,31749.0
1958-05-01,42328.28,2570.94,7532.63,24663.09
1958-06-01,35674.39,7780.820000000001,5146.63,12694.41
1958-07-01,26678.44,4000.03,4321.12,5130.31
1958-08-01,19659.03,9667.09,4319.27,3310.9
1958-09-01,22396.5,16461.54,3358.36,2369.9700000000003
1958-10-01,23815.899999999998,12494.829999999998,4426.96,2361.46
1958-11-01,29195.589999999997,11649.09,5835.33,3279.6900000000005
1958-12-01,38664.95,11030.380000000001,5030.76,6000.660000000001
1959-01-01,76260.6,5737.29,10976.96,18620.170000000002
1959-02-01,65698.9,7841.49,11364.76,27586.31
1959-03-01,69094.52999999998,4664.45,10174.93,29773.12
1959-04-01,53587.28,7666.56,8758.58,28638.96
1959-05-01,35949.549999999996,8034.76,4204.3,22441.07
1959-06-01,27459.1,7472.300000000001,3412.27,11393.02
1959-07-01,20669.04,5115.11,3083.67,5878.72
1959-08-01,18015.46,6479.93,2741.17,3225.32
1959-09-01,14522.949999999999,10768.31,2485.86,2272.8
1959-10-01,17044.07,7326.83,2780.64,1720.73
1959-11-01,28303.61,3162.54,4825.61,2936.51
1959-12-01,35308.020000000004,2482.04,7859.98,6158.8
1960-01-01,60834.759999999995,2393.63,10527.48,8979.529999999999
1960-02-01,72774.43000000001,4358.2,17501.05,20694.52
1960-03-01,77232.49,3673.9300000000003,27171.37,27328.24
1960-04-01,53471.36,3883.1,21510.99,30248.039999999997
1960-05-01,40591.32,3447.82,7981.34,22527.81
1960-06-01,31297.36,5997.85,5560.12,13296.74
1960-07-01,24588.68,3903.5,4329.47,5449.38
1960-08-01,20435.3,13163.220000000001,3652.28,3083.7299999999996
1960-09-01,15999.44,13858.119999999999,3071.3,2057.9100000000003
1960-10-01,18959.02,11882.99,2743.88,1850.22
1960-11-01,31039.42,11778.119999999999,3242.71,4460.75
1960-12-01,49573.71,5250.38,11833.65,8925.14
1961-01-01,82391.52,5019.24,16758.37,15875.249999999998
1961-02-01,87517.45000000001,4785.65,22583.15,28133.420000000002
1961-03-01,90327.03,15979.92,19170.01,29648.55
1961-04-01,60784.45999999999,9745.98,11080.71,18060.75
1961-05-01,49049.01000000001,6907.64,6994.71,13931.19
1961-06-01,34344.5,8418.48,5299.87,8245.08
1961-07-01,25683.920000000002,6350.46,4291.79,4904.15
1961-08-01,19979.410000000003,3585.5099999999998,3600.64,2911.21
1961-09-01,17057.61,20809.14,3025.01,1899.4100000000003
1961-10-01,16345.16,21777.35,2626.88,1416.57
1961-11-01,26025.41,18615.75,3169.15,2640.2999999999997
1961-12-01,34407.58,8580.32,4531.16,4365.53
1962-01-01,57262.46,4663.35,10391.1,8424.77
1962-02-01,74384.46,5430.530000000001,15887.18,14676.11
1962-03-01,72590.05,6557.7,13224.27,20450.75
1962-04-01,47918.840000000004,3394.6099999999997,10135.41,24066.489999999998
1962-05-01,35621.61,4631.31,6056.07,15638.08
1962-06-01,28897.76,4110.92,4451.23,6949.780000000001
1962-07-01,21390.38,4608.61,3768.2,3751.18
1962-08-01,17667.91,3206.5,3111.42,3099.03
1962-09-01,17844.430000000004,9158.32,2497.06,1978.6000000000001
1962-10-01,26804.07,11056.64,3276.01,1843.42
1962-11-01,28705.89,5866.65,5604.55,3291.7599999999998
1962-12-01,59558.58,3114.34,8813.91,7106.52
1963-01-01,74872.19,5393.8,16220.77,16276.75
1963-02-01,70956.83,11789.970000000001,19400.24,20388.8
1963-03-01,54169.69,10805.85,11242.48,24224.820000000003
1963-04-01,40478.82,6526.75,5218.35,17046.899999999998
1963-05-01,29790.059999999998,3257.09,4376.36,16144.74
1963-06-01,23852.11,2423.9300000000003,3345.23,8814.51
1963-07-01,18960.260000000002,2243.31,2937.63,4812.34
1963-08-01,15395.580000000002,5819.6,2676.81,2915.2700000000004
1963-09-01,12904.37,7642.25,2370.79,2014.1699999999998
1963-10-01,14775.57,21864.94,2119.09,1478.84
1963-11-01,23871.86,19846.61,2727.88,2151.58
1963-12-01,20957.2,9589.04,4180.05,3744.6000000000004
1964-01-01,46260.6,3412.69,12536.31,22446.37
1964-02-01,70556.59999999999,4758.51,24150.7,31221.13
1964-03-01,49091.62,3567.88,17471.57,30579.01
1964-04-01,39466.19,6107.389999999999,8949.65,28670.42
1964-05-01,31403.23,6799.25,5325.27,22391.25
1964-06-01,23642.47,5638.24,3670.2,15389.27
1964-07-01,19980.059999999998,6536.83,3138.49,5342.79
1964-08-01,15963.289999999999,10798.65,2892.02,3096.44
1964-09-01,12940.85,12750.82,2296.51,2068.93
1964-10-01,21430.3,7517.139999999999,2607.06,2656.24
1964-11-01,31375.81,4239.01,7919.09,4390.19
1964-12-01,46980.87,3963.37,12564.29,9716.24
1965-01-01,73600.37,3437.96,15283.92,12051.39
1965-02-01,90773.51999999999,4511.2300000000005,14772.59,21221.370000000003
1965-03-01,97517.98,4218.5599999999995,15878.62,25281.54
1965-04-01,64629.44999999999,3647.71,17973.27,31174.88
1965-05-01,54828.05,13988.89,9062.66,24234.35
1965-06-01,36925.590000000004,5799.49,5562.48,11070.95
1965-07-01,31721.300000000003,14094.83,4491.33,5348.99
1965-08-01,24129.379999999997,20453.8,3846.92,3300.31
1965-09-01,18938.74,20991.54,3200.2,2646.31
1965-10-01,33772.54,18482.29,4006.24,2550.67
1965-11-01,39938.9,11009.35,7756.31,3931.05
