model,statistics,K = 1,K = 2,K = 3,K = 4,K = 5,K = 6,K = 7,K = 8,K = 9,K = 10,K = 11,K = 12,K = 13,K = 14,K = 15,K = 16,K = 17,K = 18,K = 19,K = 20,K = 21,K = 22,K = 23,K = 24
PARp-A_J_50,mean,1337.7917388096425,2542.1008666532366,3212.6460497928533,3929.202185224678,4409.344396134246,5168.966278003183,5029.203200790355,5243.47334036523,5494.897038055733,5487.808785251044,5684.875064682991,5937.806012101372,6087.88247568395,6369.895370896817,6447.382030166624,6468.701950014793,6667.397425606145,6923.2273049595315,7121.581987120451,7024.046917827373,6906.041799453603,7084.767122078224,7324.663073324674,7271.073644206645
PARp-A_J_50,IC_UB,2462.2282477507347,3979.2636947777564,4890.192148774312,5621.6233995937855,6119.132624181531,6915.344873608602,6785.379344849891,7001.440048905468,7265.409295277477,7255.453893081822,7434.022938830484,7697.082789078241,7863.186464295962,8147.327916606446,8233.732165585367,8260.609204936449,8469.4533721667,8727.943879889437,8904.688347770794,8791.703798427923,8668.744061679265,8851.559794726323,9112.758288487534,9073.23998759346
PARp-A_J_60,IC_LB,37.13666696431642,978.3257744483212,1430.8561609001429,2194.890967994299,2720.47752459304,3464.558047382751,3208.953560429817,3301.1581870958407,3427.08536063033,3314.2341603892273,3460.6706393418663,3667.552619538632,3781.3858090462513,4047.993548133699,4104.245635364732,4107.41183777414,4278.89000473723,4509.810145203371,4720.065549298273,4624.421132690037,4502.72948194301,4653.511774309901,4846.775046996901,4778.596410259262
PARp-A_J_60,mean,1167.1408960581175,2384.0659985641464,3083.8442057629013,3856.924322391399,4402.111993510192,5183.688038274454,4944.543934903461,5045.143126597617,5192.770796233985,5096.152742862223,5244.334485225431,5461.435024597635,5584.502586097267,5844.272037019003,5900.665679225597,5907.840661292133,6087.692049831328,6324.881080323528,6519.27018346814,6411.6681525073045,6286.052399845972,6439.784635552709,6653.611233952446,6596.554059827553
PARp-A_J_60,IC_UB,2297.1451251519184,3789.8062226799716,4736.83225062566,5518.957676788499,6083.746462427345,6902.818029166157,6680.134309377106,6789.128066099393,6958.456231837639,6878.071325335219,7027.998331108996,7255.317429656638,7387.619363148284,7640.550525904307,7697.085723086462,7708.2694848101255,7896.494094925427,8139.952015443686,8318.474817638007,8198.915172324572,8069.375317748934,8226.057496795518,8460.44742090799,8414.511709395845
PARp-A_J_70,IC_LB,-222.63542044336464,534.6872070806614,814.165185125825,1474.630630185531,1906.8840089378898,2659.1174642674796,2377.1540885811883,2466.731778104191,2561.854137824511,2460.260732911111,2599.679145986617,2807.63873560952,3008.1445870170073,3334.331892008886,3434.0452500629426,3428.4941026526685,3583.5651058526137,3801.205173518964,3994.334608018178,3894.886672763965,3772.5822562936246,3929.651129881805,4135.264145704187,4086.6135650067563
PARp-A_J_70,mean,915.0383831656029,1935.0177984330319,2437.6863806685546,3102.6811779795503,3563.5064038864048,4366.668253165219,4100.612478639268,4209.72668593626,4336.547510444425,4251.179008009929,4387.597889189186,4609.1066658154805,4809.142109565758,5127.093991922905,5222.406227234946,5216.616409797265,5384.357312159251,5613.562901215575,5791.8853618429275,5678.97932760919,5547.292222627077,5697.275807523265,5913.7980362594335,5870.486303282468
PARp-A_J_70,IC_UB,2052.7121867745705,3335.348389785402,4061.2075762112845,4730.731725773569,5220.1287988349195,6074.219042062958,5824.0708686973485,5952.721593768329,6111.240883064339,6042.097283108747,6175.516632391756,6410.574596021441,6610.1396321145085,6919.856091836924,7010.767204406949,7004.738716941862,7185.149518465888,7425.920628912187,7589.436115667677,7463.071982454414,7322.002188960529,7464.900485164725,7692.33192681468,7654.359041558179
PARp-A_J_80,IC_LB,-169.183377612865,662.0437182412168,973.6903866290011,1609.8399772044966,2056.8605286818965,2701.703261626948,2415.3281997643026,2506.85287515479,2629.046565919347,2514.343791624682,2640.1479039004507,2863.1706789919635,3059.922589299749,3375.1116001068617,3467.5137438414263,3448.3874271902314,3594.0363503548083,3811.325361535739,3995.880900587128,3887.49750278825,3751.9941338306944,3886.901126303834,4086.6012696959897,4024.3279848455777
PARp-A_J_80,mean,970.8744142144627,2069.9937532925765,2605.6211890630907,3246.1474325594354,3709.1618328793056,4391.7675479611635,4120.444974813869,4221.208874288869,4363.005911311581,4262.857824053825,4388.014806483365,4624.050494853619,4816.734268402139,5123.04889952948,5217.051632913432,5209.70003401095,5371.656179505748,5602.484104537783,5775.34213011132,5662.29445646191,5526.695195189722,5665.825303793178,5882.077724243884,5832.048815628235
